"","Order_Number","Sex","Age","Age_Group","Price","Monthly_Install","Delivery","CB","CB_Class","SP","SP_Class","Payment","Previous_Contracts","Periods","Overdue","default","Previous_Contracts_YN"
"2565",567608,"Female",49,"40s",2334000,233400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2623",567083,"Female",62,"60s",3168000,316800,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2625",567008,"Female",52,"50s",2334000,233400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2626",566983,"Female",39,"30s",4248000,424800,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2627",566964,"Female",54,"50s",3168000,316800,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2635",566874,"Male",37,"30s",3414000,341400,"Install",7,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2724",566131,"Female",48,"40s",3954000,395400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2737",565001,"Female",56,"50s",2274000,227400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",1,6,0,"No","Yes"
"2742",564916,"Female",39,"30s",3774000,377400,"Install",3,"CB.Class 1",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2765",564566,"Female",53,"50s",3114000,311400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2781",564917,"Male",51,"50s",1734000,173400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2782",564464,"Male",51,"50s",2214000,221400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2784",564622,"Male",49,"40s",2094000,209400,"Install",5,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"2785",564446,"Male",49,"40s",2214000,221400,"Install",5,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"2790",564397,"Female",33,"30s",3954000,395400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2791",564382,"Female",50,"50s",2274000,227400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2793",564907,"Female",45,"40s",2214000,221400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2794",564373,"Female",45,"40s",1734000,173400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2797",564367,"Male",51,"50s",1734000,173400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2801",564913,"Female",37,"30s",2514000,251400,"Install",6,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
